,Expected Annual Damage,Expected Number of Deaths,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs
11295,396599968.13911086,0.11971323953616575,0.11871633225707752,393699735.1477176,12737.722083681561
11296,2900232.9913932765,0.000996907279088232,0.0,0.0,73.53027758882675
11297,396599968.13911086,0.11971323953616575,0.11871633225707752,393699735.1477176,12737.722083681561
11298,31294161.577072755,0.0079381543504005,0.0056531643587119556,18097406.782333203,995.0949843604977
11299,28912484.58550095,0.007536649885506596,0.00564174190351664,18063909.40676676,912.5159902529178
11300,31294161.577072755,0.0079381543504005,0.0056531643587119556,18097406.782333203,995.0949843604977
11301,31294161.577072755,0.0079381543504005,0.0056531643587119556,18097406.782333203,995.0949843604977
11302,31294161.577072755,0.0079381543504005,0.0056531643587119556,18097406.782333203,995.0949843604977
11303,38965512.10248535,0.011184127388165696,0.009729378058227106,30890238.94286729,1196.790261161037
11304,13196754.794739554,0.0022849899916885436,0.0,0.0,445.28453630122715
11305,8075273.15961806,0.0014547493299385912,0.0,0.0,264.9060184389285
11306,8008788.21467058,0.0014364381036783996,0.0,0.0,263.5858080979635
11307,8008788.21467058,0.0014364381036783996,0.0,0.0,263.5858080979635
11308,8008788.21467058,0.0014364381036783996,0.0,0.0,263.5858080979635
11309,10848575.17873419,0.0018949079819899563,0.0,0.0,363.5761793016421
11310,38806333.61597352,0.011133999108207433,0.009697561004529034,30797545.40130294,1192.9497419272936
11311,8008788.21467058,0.0014364381036783996,0.0,0.0,263.5858080979635
11312,113217644.19467974,0.02718097668079919,0.0,0.0,3478.0537850712185
11313,82454225.57647513,0.02048232705507092,0.0,0.0,2495.6720953584068
11314,113217644.19467974,0.02718097668079919,0.0,0.0,3478.0537850712185
11315,57241267.994314894,0.009058540825078142,0.0,0.0,2034.002755678146
11316,113217644.19467974,0.02718097668079919,0.0,0.0,3478.0537850712185
11317,119924653.80494812,0.028148453468041387,0.0,0.0,3725.4065610164344
11318,113217644.19467974,0.02718097668079919,0.0,0.0,3478.0537850712185
11319,63447468.26396477,0.009959785682102554,0.0,0.0,2262.3986767519664
11320,37700548.541034795,0.005778670749422147,0.0,0.0,1359.4730108516933
11321,83565203.19643272,0.020652736290872747,0.0,0.0,2535.8216570704176
11322,37700548.541034795,0.005778670749422147,0.0,0.0,1359.4730108516933
11323,36589570.92107719,0.005608261513620321,0.0,0.0,1319.3234491396827
11324,37700548.541034795,0.005778670749422147,0.0,0.0,1359.4730108516933
11325,37700548.541034795,0.005778670749422147,0.0,0.0,1359.4730108516933
11326,16407656.994396396,0.004859892983947566,0.0038455254254038747,11892656.35767525,485.6214690668562
11327,7525805.514817988,0.002316968786371821,0.0021466447655196356,6639608.761167929,223.47169091436453
11328,16407656.994396396,0.004859892983947566,0.0038455254254038747,11892656.35767525,485.6214690668562
11329,19013585.964215875,0.006193393762809685,0.0,0.0,491.07748853206243
11330,16407656.994396396,0.004859892983947566,0.0038455254254038747,11892656.35767525,485.6214690668562
11331,9358133.004823867,0.0018878952913006551,0.0,0.0,293.49751794085
11332,25924811.3180328,0.007918480656524795,0.006904113097981103,21409810.681311656,767.8478423498836
11333,22222468.922357917,0.006797468945354257,0.0,0.0,592.6829261377057
11334,10979731.273237633,0.0034101563053261126,0.0,0.0,291.7978511522163
11335,16256135.134877218,0.004723454486030936,0.00409923344875303,12859647.935158508,493.6185212914016
11336,10979731.273237633,0.0034101563053261126,0.0,0.0,291.7978511522163
11337,9436663.181254813,0.003125332211936961,0.0,0.0,242.14117492538418
11338,10979731.273237633,0.0034101563053261126,0.0,0.0,291.7978511522163
11339,10979731.273237633,0.0034101563053261126,0.0,0.0,291.7978511522163
11340,3563224.2450669096,0.0006759067022305174,0.0,0.0,112.10310240599358
11341,3520839.03260859,0.0006627680029960966,0.0,0.0,111.4878297729264
11342,3563224.2450669096,0.0006759067022305174,0.0,0.0,112.10310240599358
11343,3563224.2450669096,0.0006759067022305174,0.0,0.0,112.10310240599358
11344,3563224.2450669096,0.0006759067022305174,0.0,0.0,112.10310240599358
11345,29177354.719510723,0.004804168118615057,0.0,0.0,1014.7855048658116
11346,37292150.937316395,0.011382352798306468,0.01070644609607595,33728926.692249484,1122.5996968958848
11347,29177354.719510723,0.004804168118615057,0.0,0.0,1014.7855048658116
11348,28897996.79643986,0.004731021364464615,0.0,0.0,1008.6519756524713
11349,28897996.79643986,0.004731021364464615,0.0,0.0,1008.6519756524713
11350,28897996.79643986,0.004731021364464615,0.0,0.0,1008.6519756524713
11351,37988840.835952014,0.011623844443791918,0.010961076440795822,34468001.80334342,1142.5808824464507
11352,28897996.79643986,0.004731021364464615,0.0,0.0,1008.6519756524713
11353,28897996.79643986,0.004731021364464615,0.0,0.0,1008.6519756524713
11354,446235347.85396326,0.13175408954830872,0.12358948901695696,416847943.6593024,14600.743900801379
11355,376388541.53613734,0.11079599721418222,0.10380512832646466,350147307.1010127,12331.05338160844
11356,446235347.85396326,0.13175408954830872,0.12358948901695696,416847943.6593024,14600.743900801379
11357,455149457.1749843,0.13304778803903494,0.12358948901695696,416847943.6593024,14859.161078079671
11358,440374052.6906648,0.12802803905593862,0.12358948901695696,416847943.6593024,14479.353747517596
11359,459250284.6359726,0.13930511167453427,0.13395217929679934,447093312.5780611,14809.74903408988
11360,29387404.194660854,0.008164600531351759,0.0,0.0,906.7366894588919
11361,18833332.301336356,0.006091064830853146,0.0,0.0,487.9770612796994
