,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
217,0.0,0.0,0.0,446661358.4495246,30351526.042379983,0.3904898409388475
218,0.0,0.0,0.0,2759976098.9743786,30351526.042379983,1.8824261146084538
219,0.0,0.0,0.0,920843553.7272525,30351526.042379983,0.8971246496089326
220,0.0181021607147413,15552643.702129107,0.0,46012460.32142709,30351526.042379983,0.06768177407710926
221,0.0,0.0,0.0,2031513999.267472,30351526.042379983,1.7170493418801476
222,0.0,0.0,0.0,3390070813.148715,30351526.042379983,3.819183718019124
223,0.0,0.0,0.0,102049668.29265897,30351526.042379983,0.11367606323181502
224,0.0,0.0,0.0,3089858223.249919,30351526.042379983,4.46124338912625
225,0.0,0.0,0.0,970284797.0981519,30351526.042379983,0.8721394862794427
226,0.0,0.0,0.0,434030313.4577832,30351526.042379983,0.8492888972981256
227,0.0,0.0,0.0,3350886244.4016643,30351526.042379983,1.88723399680841
228,0.0,0.0,0.0,353350841.8813933,30351526.042379983,0.6866079059176394
229,0.0,0.0,0.0,1513622721.0973837,30351526.042379983,3.6208358954878843
230,0.0,0.0,0.0,2245684794.9940968,30351526.042379983,1.7084978327977765
231,0.0,0.0,0.0,108212692.08658402,30351526.042379983,0.18026851601891972
232,0.0,0.0,0.0,604009625.9912812,30351526.042379983,0.46371986186400993
233,0.0,0.0,0.0,3233515285.1560726,30351526.042379983,2.3258156765086078
234,0.0,0.0,0.0,1171781411.759807,30351526.042379983,1.8536845742642898
235,0.0,0.0,0.0,2788836851.449655,30351526.042379983,2.0318270088014363
236,0.0,0.0,0.0,2989007834.6520047,30351526.042379983,2.3970895531531924
237,0.0,0.0,0.0,510419738.92529505,30351526.042379983,0.9895749131577816
238,0.023519037806482734,29522898.64878257,0.0,271903766.90423435,30351526.042379983,0.1541894752870287
239,0.3836456600239231,477599783.3765288,0.0,647350364.3693094,30351526.042379983,0.5352953924454631
240,0.0,0.0,0.0,180953448.33598486,30351526.042379983,0.26943145932440016
241,0.0,0.0,0.0,2134864801.979888,30351526.042379983,3.6893977977885597
242,0.0,0.0,0.0,2471321179.338999,30351526.042379983,2.0044107799608706
243,0.0,0.0,0.0,3095198965.3473296,30351526.042379983,1.9291020036471833
244,0.0,0.0,0.0,2563171418.5390797,30351526.042379983,2.096399587756551
245,0.0,0.0,0.0,5620739965.108356,30351526.042379983,5.0774574410867865
246,0.0,0.0,0.0,3300574612.2210264,30351526.042379983,1.9174731853164309
247,0.0,0.0,0.0,3036993143.674524,30351526.042379983,3.3435620986530323
248,0.0,0.0,0.0,2425095161.332947,30351526.042379983,1.889519306834383
249,0.0,0.0,0.0,236095357.9853854,30351526.042379983,0.2095147092180511
250,0.0,0.0,0.0,2624719974.498039,30351526.042379983,1.8886445780702397
251,0.0,0.0,0.0,2289184576.0622606,30351526.042379983,1.8965463851534559
252,0.0,0.0,0.0,2289966869.1482463,30351526.042379983,1.8978879517594236
253,0.0,0.0,0.0,3778466787.0101185,30351526.042379983,1.871002105910462
254,0.0,0.0,0.0,222485807.5883966,30351526.042379983,0.20321459934953318
255,0.0,0.0,0.0,1589642250.458367,30351526.042379983,2.524972048653097
256,0.0,0.0,0.0,3621078336.9484334,30351526.042379983,2.308420186798016
257,0.0,0.0,0.0,2998520941.2173796,30351526.042379983,2.6243458005979257
258,0.0,0.0,0.0,1266758791.6750443,30351526.042379983,1.1990421025113942
259,0.0,0.0,0.0,3881215266.986831,30351526.042379983,5.147137166913246
260,0.0,0.0,0.0,771764151.9048877,30351526.042379983,1.08292716231723
261,0.0,0.0,0.0,95174342.4372267,30351526.042379983,0.157296857074225
262,0.0,0.0,0.0,2121352487.9908247,30351526.042379983,3.598317111863428
263,0.0,0.0,0.0,413356873.38073397,30351526.042379983,0.677475074051908
264,0.0,0.0,0.0,374947944.3123922,30351526.042379983,0.2555068849249102
265,0.0,0.0,0.0,4276964134.425177,30351526.042379983,4.238716479532101
266,0.0,0.0,0.0,78341103.19004157,30351526.042379983,0.08783058848496232
267,0.0,0.0,0.0,760915008.2496111,30351526.042379983,1.5096466670250976
268,0.0,0.0,0.0,2518742064.965466,30351526.042379983,3.612374113600393
269,0.0,0.0,0.0,50705381.666169286,30351526.042379983,0.0981455085658846
270,0.0,0.0,0.0,4002554002.1512923,30351526.042379983,1.9889393555947334
271,0.0,0.0,0.0,2975980454.720195,30351526.042379983,2.0648766350794467
272,0.0,0.0,0.0,327671895.649014,30351526.042379983,0.36838184668011303
273,0.0,0.0,0.0,143480503.37693053,30351526.042379983,0.11400370679703402
274,0.0,0.0,0.0,253722309.95139977,30351526.042379983,0.1419562461391749
275,0.0,0.0,0.0,4163483310.940673,30351526.042379983,3.302797309544142
276,0.0,0.0,0.0,2907213874.241978,30351526.042379983,1.879440832795874
277,0.0,0.0,0.0,3283182169.8289566,30351526.042379983,1.905334952035108
278,0.0,0.0,0.0,801854357.4644747,30351526.042379983,1.6180736809278928
279,0.0,0.0,0.0,1843686103.7931662,30351526.042379983,3.603014236681499
280,0.0,0.0,0.0,2735812616.4448643,30351526.042379983,2.738106575786686
281,0.0,0.0,0.0,413543001.43222785,30351526.042379983,0.5418486857679834
282,0.0,0.0,0.0,3507030191.53305,30351526.042379983,1.8563160256547935
283,0.0,0.0,0.0,3009936957.404397,30351526.042379983,1.8494435919002554
284,0.0,0.0,0.0,917193866.986496,30351526.042379983,1.6645751570063285
285,0.0,0.0,0.0,459871576.1410356,30351526.042379983,0.7903808464893548
286,0.0,0.0,0.0,935320941.6790262,30351526.042379983,1.5531454424909934
287,0.0,0.0,0.0,103995083.09321435,30351526.042379983,0.08953401972923733
288,0.0,0.0,0.0,1467391090.1603413,30351526.042379983,1.6974993607090305
289,0.0,0.0,0.0,2912152523.240705,30351526.042379983,2.2367384157435213
290,0.0,0.0,0.0,2122169949.0291448,30351526.042379983,1.9345486220937926
291,0.0,0.0,0.0,2218666188.6602206,30351526.042379983,3.575795691017633
292,0.0,0.0,0.0,3189974608.927401,30351526.042379983,1.87217134398957
293,0.0,0.0,0.0,2599786176.0674295,30351526.042379983,4.0821484995177615
294,0.0,0.0,0.0,2657240001.786733,30351526.042379983,1.9222409517013537
295,0.0,0.0,0.0,558251559.8513031,30351526.042379983,0.7524876524489883
296,0.06125901973386347,52612565.756054014,0.0,1022410202.0898818,30351526.042379983,0.9095098128181476
297,0.0,0.0,0.0,1027393529.4568766,30351526.042379983,0.8364075244319871
298,0.0,0.0,0.0,2421591266.471525,30351526.042379983,2.024769251291856
299,0.0,0.0,0.0,458546766.7179801,30351526.042379983,0.38524951605604146
