,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Expected Number of Deaths
56,249157412.4170264,0.1952126124964508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1952126124964508
57,2934957325.203385,1.9300768714950667,364590700.5353309,0.31282114060382427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.242898012098891
58,3706543963.8112493,1.9681460290884223,32709203.806703217,0.02526825989525142,1314213653.3484674,1.8098831417083752,2573112.367506201,0.0009393539548588246,0.0,0.0,0.0,0.0,3.804236784646908
59,36466865.51838952,0.027495046689285728,387713431.76162493,0.3594696863881197,18289551.0924896,0.033940052561182744,0.0,0.0,17474537.36360469,0.01649135223924545,0.0,0.0,0.43739613787783366
60,0.0,0.0,995827242.5830669,0.8217434524856567,1146149052.7954297,1.822711841479989,0.0,0.0,0.0,0.0,0.0,0.0,2.644455293965646
61,206308875.35553306,0.12477100178652942,29409479.855263345,0.023902427957142452,651830004.7916131,0.976601526109099,0.0,0.0,228854361.13096434,0.17389374784815953,0.0,0.0,1.2991687037009303
62,0.0,0.0,160609327.09481257,0.16572570683906873,31386081.707517542,0.06301908032249225,0.0,0.0,0.0,0.0,0.0,0.0,0.228744787161561
63,0.0,0.0,10712207.80496704,0.010539674349845096,1663009674.528161,2.7795844467745527,0.0,0.0,0.0,0.0,0.0,0.0,2.7901241211243977
64,0.0,0.0,28712098.311325446,0.026247031493961345,71584739.29650278,0.12232080544476699,7819016.470866155,0.003912341960233479,0.0,0.0,0.0,0.0,0.15248017889896182
65,0.0,0.0,11277183.329581378,0.010616849526636676,55010671.74221305,0.09474909373515131,0.0,0.0,601609157.0085019,0.50406006157544,0.0,0.0,0.609426004837228
66,0.0,0.0,849097911.4820757,0.8471190051498829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8471190051498829
67,3012651640.8579845,1.9438465444885349,0.0,0.0,0.0,0.0,23808522.88526751,0.010657925965029357,0.0,0.0,0.0,0.0,1.9545044704535643
