,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Deaths
58,204255668.53730285,0.14221452611624102,0.0,0.0,1893453201.6418672,3.1558631535679593,3332298.06173414,0.0014029981721944925,0.0,0.0,0.0,0.0,3.2994806778563945
59,12377232.68967661,0.012454100706392189,71315007.99870726,0.09237712076470939,406608942.30096513,0.9806040753447416,25616031.259835273,0.015940391202253552,0.0,0.0,0.0,0.0,1.1013756880180967
60,0.0,0.0,4380563.218640365,0.0046056070422247335,1728515684.6266303,3.0633693345210102,0.0,0.0,0.0,0.0,0.0,0.0,3.067974941563235
61,2146500032.0395074,1.7216115786400197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7216115786400197
62,1830237556.5181391,1.2872554265660956,104861713.88897553,0.10209438723307124,1722714707.7330098,3.045948868646101,0.0,0.0,0.0,0.0,0.0,0.0,4.435298682445268
63,2095491889.8779163,1.6704082514956233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6704082514956233
64,732863900.1483682,0.3779445465280421,0.0,0.0,0.0,0.0,0.0,0.0,749275176.9500359,0.4927128874110186,0.0,0.0,0.8706574339390607
65,336396792.7570402,0.3007578585538839,685584138.1705825,0.7554082071536297,1340582762.1886997,2.820426991280343,0.0,0.0,0.0,0.0,0.0,0.0,3.876593056987857
66,0.0,0.0,50129186.307671204,0.045402602046156225,1017499712.5590366,1.653916227589038,8788534.477770135,0.0037595055775009184,0.0,0.0,0.0,0.0,1.703078335212695
67,3033440892.663941,1.6236331235581005,0.0,0.0,2185080672.7872972,2.9036715043981527,0.0,0.0,0.0,0.0,0.0,0.0,4.527304627956253
68,19582047.594111428,0.012810147443254188,69059948.18265416,0.0591057743889336,2083518161.279964,3.1546738863978954,0.0,0.0,0.0,0.0,0.0,0.0,3.226589808230083
69,123229080.9058646,0.11020792646583277,714034551.0730848,0.7726331704787016,773055068.487434,1.5802663953364646,0.0,0.0,0.0,0.0,0.0,0.0,2.463107492280999
70,13643675.427911893,0.012528316382777727,23852958.528379034,0.029269385400425642,608947993.3536274,1.3369974705270056,38826572.581036545,0.021443008407422037,773517269.167351,0.8127366368193771,0.0,0.0,2.212974817537008
71,18541702.74157985,0.012719030941477133,153911223.1017954,0.1345929891047108,1171265049.4913182,1.8942008376575772,47112609.74630649,0.018817977991898396,0.0,0.0,0.0,0.0,2.0603308356956633
72,2003228821.4677548,1.7062503207526407,662511654.452379,0.718643529219775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424893849972416
73,2510896645.2233806,1.7208844220491064,62940795.04963404,0.06020265098408098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7810870730331874
74,16761673.382371493,0.012719030941477133,173518141.9016948,0.16657753072998027,1789540082.4324384,3.140130576262014,0.0,0.0,0.0,0.0,0.0,0.0,3.3194271379334714
75,0.0,0.0,42139258.7090158,0.04531017977258468,42581865.35608606,0.08646901691659671,44029732.7632267,0.023095508477693233,0.0,0.0,0.0,0.0,0.15487470516687463
76,2432324129.2064934,1.6913475827494702,24207434.148264065,0.022505772003835398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7138533547533055
77,18390419.036233813,0.012598903317901946,714295762.7312428,0.5864130747883106,0.0,0.0,10502870.955241889,0.004473640712327079,0.0,0.0,0.0,0.0,0.6034856188185396
78,92518082.74701451,0.06944923587215422,0.0,0.0,1711689412.4448693,3.017126489249063,0.0,0.0,62793108.355939336,0.05188419259794395,0.0,0.0,3.138459917719161
79,109252711.08830169,0.07346086090522495,17553832.948043,0.015963157382841417,374784434.8931071,0.6254894167466645,0.0,0.0,9090790.100568816,0.007641270841629608,0.0,0.0,0.7225547058763604
80,0.0,0.0,51664572.987285994,0.058133215360533744,1142933175.9269629,2.3072419147156356,0.0,0.0,0.0,0.0,0.0,0.0,2.365375130076169
81,2455750717.7488422,1.7118097775090417,2988393.716749093,0.0025213957576060153,68205711.01068969,0.11585504911616806,0.0,0.0,0.0,0.0,0.0,0.0,1.8301862223828158
82,2201312122.058531,1.722669856108459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.722669856108459
83,2637792350.696068,1.7120132403060095,0.0,0.0,0.0,0.0,4761780.755058569,0.001398618785317404,0.0,0.0,0.0,0.0,1.713411859091327
84,0.0,0.0,230928331.07478535,0.20641794220460452,534597951.6584673,0.9108899237770334,0.0,0.0,0.0,0.0,0.0,0.0,1.1173078659816378
85,2607184630.2145257,1.7310165917695906,0.0,0.0,29951866.692104027,0.05304409115075068,0.0,0.0,0.0,0.0,0.0,0.0,1.7840606829203411
86,0.0,0.0,71568405.78788134,0.07204911083130074,1762354315.390811,3.153696456100871,86495323.94077508,0.02928158965310739,0.0,0.0,0.0,0.0,3.255027156585279
87,0.0,0.0,128534407.40364847,0.13375705112469943,1650008447.3565729,3.1132751102274425,0.0,0.0,0.0,0.0,0.0,0.0,3.247032161352142
88,0.0,0.0,70035337.693585,0.05896568746333378,2106840573.9447908,3.1344963745343426,0.0,0.0,0.0,0.0,0.0,0.0,3.1934620619976766
89,56375034.18147579,0.043078698123359196,855930320.1640658,0.7804021391324385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8234808372557977
90,20327594.143541217,0.012723278003532325,19661510.626233507,0.016641177403527913,2168541109.947029,3.1404277336293758,0.0,0.0,0.0,0.0,0.0,0.0,3.169792189036436
91,0.0,0.0,751546628.5252421,0.5753978693311093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5753978693311093
92,17963366.156611215,0.012953671834586648,30743966.41194138,0.029697388154562538,11012761.029452126,0.01993210959758705,170795904.0767066,0.07330718753479873,0.0,0.0,0.0,0.0,0.13589035712153497
93,1297081744.2049146,1.2767942305478752,0.0,0.0,5397984.243396085,0.013925651890410621,0.0,0.0,0.0,0.0,0.0,0.0,1.290719882438286
